rodzaj_zabudowy,metry_kwadratowe,stan_mieszkania,okres,bialystok_wlasnosc_prywatna,bialystok_spółdzielnia,bydgoszcz_wlasnosc_prywatna,bydgoszcz_spółdzielnia,czestochowa_wlasnosc_prywatna,czestochowa_spółdzielnia,gdansk_wlasnosc_prywatna,gdansk_spółdzielnia,gdynia_wlasnosc_prywatna,gdynia_spółdzielnia,katowice_wlasnosc_prywatna,katowice_spółdzielnia,krakow_wlasnosc_prywatna,krakow_spółdzielnia,krakow_udział,lodz_wlasnosc_prywatna,lodz_spółdzielnia,lublin_wlasnosc_prywatna,lublin_spółdzielnia,poznan_wlasnosc_prywatna,poznan_spółdzielnia,radom_wlasnosc_prywatna,radom_spółdzielnia,radom_udział,rzeszow_wlasnosc_prywatna,rzeszow_spółdzielnia,szczecin_wlasnosc_prywatna,szczecin_spółdzielnia,warszawa_wlasnosc_prywatna,warszawa_spółdzielnia,wroclaw_wlasnosc_prywatna,wroclaw_spółdzielnia
apartamentowiec,73.82,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,799000.0,,,,,,,,,,,,,,,,
apartamentowiec,41.54,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,489000.0,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,46.56,nizki_poziom_jakosci,listopad_2023,,,,,,,,,,,559000.0,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,77.56,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,789000.0,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,81.0,nizki_poziom_jakosci,listopad_2023,,,,,,,,,,,829000.0,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,81.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,849000.0,,1115000.0,,,
apartamentowiec,82.48,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,1160000.0,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,86.55,nizki_poziom_jakosci,listopad_2023,,,,,,,,,,,999000.0,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,97.79,nizki_poziom_jakosci,listopad_2023,,,,,,,,,,,890000.0,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,32.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,749000.0,,,,,,,,,,,,,,,,635000.0,,,
