rodzaj_zabudowy,metry_kwadratowe,stan_mieszkania,okres,bialystok_wlasnosc_prywatna,bialystok_spółdzielnia,bydgoszcz_wlasnosc_prywatna,bydgoszcz_spółdzielnia,czestochowa_wlasnosc_prywatna,czestochowa_spółdzielnia,gdansk_wlasnosc_prywatna,gdansk_spółdzielnia,gdynia_wlasnosc_prywatna,gdynia_spółdzielnia,katowice_wlasnosc_prywatna,katowice_spółdzielnia,krakow_wlasnosc_prywatna,krakow_spółdzielnia,lodz_wlasnosc_prywatna,lodz_spółdzielnia,lublin_wlasnosc_prywatna,lublin_spółdzielnia,poznan_wlasnosc_prywatna,poznan_spółdzielnia,radom_wlasnosc_prywatna,radom_spółdzielnia,rzeszow_wlasnosc_prywatna,rzeszow_spółdzielnia,szczecin_wlasnosc_prywatna,szczecin_spółdzielnia,warszawa_wlasnosc_prywatna,warszawa_spółdzielnia,wroclaw_wlasnosc_prywatna,wroclaw_spółdzielnia
apartamentowiec,43.0,nizki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,620000.0,,,,,,,,,,,,,,,,,
apartamentowiec,43.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,630000.0,,,,995000.0,,,,,,,,,,,,,,1150000.0,,,
apartamentowiec,49.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,828333.3333333334,,489000.0,,,,,,,,,,,,1045500.0,,724000.0,
apartamentowiec,51.5,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,849000.0,,,,,,,,,,,,,,1249000.0,,,
apartamentowiec,54.7,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,609900.0,,,,,,,,,,,,849000.0,,,
apartamentowiec,64.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,,,,,972000.0,,,,,,,,959000.0,,,
apartamentowiec,65.3,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730000.0,
apartamentowiec,74.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,1289500.0,,884500.0,,,,,,,,,,,,1510000.0,1790000.0,1465000.0,
apartamentowiec,43.19,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,998000.0,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,48.3,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,1099000.0,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,52.06,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,999000.0,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,56.28,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,870000.0,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,59.6,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,799000.0,,,,,,,,,,,,,,,,,,,,,,,
